X Gaze Data, Y Gaze Data, Time 
1053,516,866495822
1053,516,866495847
1055,514,866495855
1055,513,866495866
1054,511,866495879
1053,510,866495889
1054,510,866495899
1066,514,866495911
1077,521,866495922
1080,524,866495933
1082,526,866495957
1088,526,866495966
1090,527,866495977
1090,526,866495989
1090,524,866496004
1090,524,866496010
1092,522,866496022
1093,521,866496036
1092,521,866496043
1091,522,866496055
1091,522,866496067
1091,523,866496076
1091,523,866496088
1089,524,866496114
1089,526,866496122
1093,529,866496133
1093,530,866496146
1092,529,866496155
1093,529,866496166
1093,527,866496178
1093,527,866496189
1094,530,866496199
1094,530,866496210
1094,529,866496224
1094,527,866496232
1093,527,866496243
1093,525,866496255
1094,527,866496271
1093,527,866496277
1092,527,866496302
1088,526,866496310
1089,526,866496322
1086,526,866496334
1083,525,866496343
1079,524,866496355
1078,523,866496366
1075,518,866496376
1073,518,866496388
1073,517,866496399
1073,516,866496412
1076,516,866496422
1076,517,866496432
1076,517,866496444
1077,517,866496455
1075,515,866496466
1074,514,866496476
1075,516,866496489
1072,517,866496499
1070,518,866496510
1069,517,866496536
1067,515,866496543
1060,516,866496555
1058,514,866496566
1058,514,866496576
1058,514,866496588
1054,522,866496599
1051,524,866496610
1049,522,866496622
1048,520,866496632
1047,519,866496646
1047,519,866496655
1048,521,866496665
1048,521,866496678
1049,518,866496688
1049,517,866496699
1050,515,866496724
1053,518,866496732
1055,519,866496743
1055,520,866496756
1055,521,866496765
1055,524,866496776
1056,523,866496803
1081,530,866496809
1075,529,866496834
1225,625,866496921
1239,633,866496931
1238,632,866496944
1238,632,866496954
1185,577,866496965
1168,559,866496976
1154,546,866496992
1148,540,866496999
1145,537,866497009
1143,534,866497023
1119,509,866497032
1115,504,866497043
1115,503,866497070
1115,504,866497076
1115,503,866497088
1114,503,866497101
1113,502,866497109
1110,501,866497121
1110,502,866497147
1110,501,866497155
1113,501,866497165
1115,501,866497177
1115,501,866497188
1117,504,866497199
1117,504,866497223
1118,507,866497232
1116,505,866497243
1116,505,866497270
1117,508,866497276
1119,511,866497288
1122,515,866497301
1123,516,866497309
1123,519,866497321
1124,521,866497332
1125,522,866497342
1126,522,866497354
1126,524,866497379
1125,525,866497388
1124,525,866497398
1123,525,866497411
1123,524,866497421
1120,523,866497431
1117,522,866497457
1096,529,866497465
1045,531,866497476
998,534,866497503
935,536,866497509
897,535,866497521
834,536,866497535
803,537,866497542
804,536,866497554
804,534,866497566
805,534,866497576
804,534,866497588
802,537,866497613
803,538,866497621
804,539,866497631
805,540,866497644
805,540,866497654
804,540,866497665
804,539,866497691
804,539,866497698
804,539,866497709
804,540,866497722
803,539,866497731
808,539,866497742
808,538,866497754
817,536,866497768
821,535,866497776
834,535,866497787
848,535,866497800
849,535,866497809
850,534,866497821
848,531,866497832
848,530,866497842
846,526,866497854
848,526,866497879
849,525,866497887
848,527,866497898
847,527,866497910
848,529,866497921
849,528,866497931
849,530,866497957
851,533,866497965
853,535,866497975
853,535,866497989
852,534,866497998
852,532,866498009
851,532,866498021
851,531,866498031
851,530,866498042
